Period_1,Period_2,Period_3,Period_4,Period_5,Period_6,Period_7,Period_8,Period_9,Period_10,Period_11,Period_12,Period_13,Period_14,Period_15,Period_16
0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,29,0
0,0,0,0,0,0,0,38.5,0,0,0,0,0,0,0,0
0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
,,,,,,0,0,0,39,0,0,0,0,0,0
,,,,,,,,0,0,0,0,39,0,0,0
,,,,,,,,0,0,0,0,39,0,0,0
,,,,,39.78,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,40,0
7.5,0,0,0,0,0,0,0,20,0,0,0,3,10,0,0
21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,8,0,0,0,0,0,0,0,0,0,0,0,30,0
25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14,0,17.5,0,10,0,0,0,0,0,0,0
0,0,10,0,0,0,4,16,4,7.5,0,0,0,0,0,0
,,,,,,,,,,,,,41.75,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
0,0,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,42.5,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,32.95,0
